10
John Taylor 100 100 90 95 85 100 90 90 95 100 0 100 100 80 95 87 90 100 98 95 98 100 98 85
Tom Hanks 100 100 90 95 85 70 90 90 95 100 90 100 65 80 95 87 90 100 98 100 98 97 98 85
Clint Eastwood 100 100 90 95 85 100 90 90 95 100 100 100 100 80 95 85 95 100 98 95 98 100 98 80
Shannon Elizabeth 100 100 90 95 85 100 90 90 95 100 100 100 100 95 95 85 96 100 98 95 98 100 98 85
Matt Damon 90 98 90 95 85 100 90 90 95 100 90 100 100 88 95 80 91 98 98 100 98 100 98 85
Tom Cruise 88 98 95 93 85 100 90 90 95 100 90 100 88 85 98 88 97 90 97 88 100 100 98 95
Nicole Kidman 85 80 90 95 85 100 90 90 95 100 75 100 100 90 92 82 95 89 93 95 97 96 98 92 
Edward Norton 85 80 90 95 85 100 90 90 95 100 88 96 100 96 93 82 95 88 98 95 98 97 98 85
Gwyneth Paltrow 100 100 90 95 85 100 90 90 95 100 90 100 100 95 82 95 98 100 98 95 98 100 98 85
Ashley Judd 100 100 90 95 0 100 90 90 95 100 0 100 100 90 95 88 90 100 98 95 98 0 98 85
